IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.8.210,4,4,0.00,40.27,35.25
104.25.250.26,4,4,0.00,48.77,34.38
162.159.128.47,4,4,0.00,54.11,34.37
104.25.248.155,4,4,0.00,42.07,34.36
172.64.232.91,4,4,0.00,44.29,34.11
172.64.145.167,4,4,0.00,40.31,33.72
104.17.181.70,4,4,0.00,40.83,33.44
104.17.179.150,4,4,0.00,43.98,33.21
104.17.174.65,4,4,0.00,47.54,33.12
172.67.14.75,4,4,0.00,42.58,33.02
104.17.184.54,4,4,0.00,52.07,32.97
104.17.185.96,4,4,0.00,51.97,32.93
104.17.182.25,4,4,0.00,47.05,32.86
104.17.178.99,4,4,0.00,42.09,32.50
172.67.12.9,4,4,0.00,42.40,31.92
104.25.249.215,4,4,0.00,43.78,31.85
172.64.152.182,4,4,0.00,46.17,31.75
172.67.5.47,4,4,0.00,40.81,31.58
172.67.11.207,4,4,0.00,43.01,31.41
162.159.129.183,4,4,0.00,53.35,30.26
